codice,posizione,specie,varieta,alias,associazione,cod_loc,dimensionamento,dimensioni,qualita,data_ins,data_acq,mod_acq,acquisito_da,costo,luogo_acq,scambiato_per,note,referenza,descrizione,fluor_lw,fluor_sw,radioattivo,tl
1,undefined,Schorl,-,-,Quarzo,Skardu_01,Miniature,55x25x35,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,6,-,-,-,-,-,Not tested,No ,Not tested,0
2,undefined,Quartz,Calcedonio,-,-,India_01,Cabinet,100x70x50,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,6.02,-,-,-,-,-,Not tested,Not tested,Not tested,0
3,undefined,Axinite-(Fe),-,-,-,Skardu_01,Cabinet,90x50x50,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,6,-,-,-,-,-,Not tested,Not tested,Not tested,0
4,undefined,Titanite,-,-,-,Skardu_01,Cabinet,65x40x30,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,5,-,-,-,-,-,Not tested,Not tested,Not tested,0
5,undefined,Granati,-,-,-,Skardu_01,Cabinet,70x65x35,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,5,-,-,-,-,-,Not tested,Not tested,Not tested,0
6,undefined,Apatite,-,-,Quarzo,Skardu_01,Cabinet,75x30x60,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,5,-,-,-,-,-,Not tested,Not tested,Not tested,0
7,undefined,Roselite,-,-,-,BouAzzer_01,Cabinet,35x35x35,AA,15/07/2008,22/04/2008,Asta Ebay,ascomicete,10.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
8,undefined,Crocoite,-,-,-,Dundas_01,Cabinet,70x40x30,---,15/07/2008,22/04/2008,Asta Ebay,ascomicete,12.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
9,undefined,Pyromorphite,-,-,-,HuNan_01,Cabinet,75x35x25,---,15/07/2008,22/04/2008,Asta Ebay,ascomicete,15.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
10,undefined,Sulfur,-,-,-,Sicilia_01,Cabinet,70x60x50,---,15/07/2008,22/04/2008,Asta Ebay,ascomicete,6.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
11,undefined,Baryte,-,-,Quarzo ialino,Brembana_01,Cabinet,150x90x40,---,15/07/2008,22/04/2008,Asta Ebay,ascomicete,2.49,-,-,-,-,-,Not tested,Not tested,Not tested,0
12,undefined,Artinite,-,-,Matrice ofiolitica,Valtaro_01,Cabinet,90x60x40,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,3.05,-,-,-,-,-,Not tested,Not tested,Not tested,0
13,undefined,Cerussite,-,-,Baryte rosa fluorescente,BouAzzer_01,Cabinet,100x50x40,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,14.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
14,vetrina,Fluorite,-,-,-,HuNan_01,Cabinet,70x60x30,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,8.6,-,-,-,-,-,Not tested,Not tested,Not tested,0
15,undefined,Fluorite,-,-,Pirite,GanSu_01,Cabinet,120x40x40,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,7.65,-,-,-,-,-,Not tested,Not tested,Not tested,0
16,undefined,Epidote,-,-,Quarzo,Graveglia_01,Cabinet,70x70x50,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,5.49,-,-,-,-,-,Not tested,Not tested,Not tested,0
17,undefined,Wavellite,-,-,-,Pencil_01,Miniature,45x25x25,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,7.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
18,undefined,Brookite,-,-,-,Pakistan,Cabinet,70x50x40,---,16/07/2008,29/04/2008,Asta Ebay,ascomicete,7.16,-,-,-,-,-,Not tested,Not tested,Not tested,0
