codice	posizione	specie	varieta	alias	associazione	cod_loc	loc_completa	dimensionamento	dimensioni	qualita	data_ins	data_acq	mod_acq	acquisito_da	costo	luogo_acq	scambiato_per	note	referenza	descrizione	fluor_lw	fluor_sw	radioattivo	tl
1		Schorl			Quarzo	Skardu_01	Skardu District, Pakistan	Miniature	55*25*35		15/07/2008	02/06/2008	Asta Ebay	maxbel72	6						Not tested	No 	Not tested	
2		Quartz	Calcedonio			India_01	India	Cabinet	100*70*50		15/07/2008	02/06/2008	Asta Ebay	maxbel72	6,02						Not tested	Not tested	Not tested	
3		Axinite-(Fe)				Skardu_01	Skardu District, Pakistan	Cabinet	90*50*50		15/07/2008	02/06/2008	Asta Ebay	maxbel72	6						Not tested	Not tested	Not tested	
4		Titanite				Skardu_01	Skardu District, Pakistan	Cabinet	65*40*30		15/07/2008	02/06/2008	Asta Ebay	maxbel72	5						Not tested	Not tested	Not tested	
5		Granati				Skardu_01	Skardu District, Pakistan	Cabinet	70*65*35		15/07/2008	02/06/2008	Asta Ebay	maxbel72	5						Not tested	Not tested	Not tested	
6		Apatite			Quarzo	Skardu_01	Skardu District, Pakistan	Cabinet	75*30*60		15/07/2008	02/06/2008	Asta Ebay	maxbel72	5						Not tested	Not tested	Not tested	
7		Roselite				BouAzzer_01	Bou Azzer, Ourzazate, Souss Massa Draa, Marocco	Cabinet	35*35*35	AA	15/07/2008	22/04/2008	Asta Ebay	ascomicete	10,5						Not tested	Not tested	Not tested	
8		Crocoite				Dundas_01	Adelaide Mine, Dundas, Zeehan District, Tasmania, Australia	Cabinet	70*40*30		15/07/2008	22/04/2008	Asta Ebay	ascomicete	12,5						Not tested	Not tested	Not tested	
9		Pyromorphite				HuNan_01	Hu Nan, Cina	Cabinet	75x35x25		15/07/2008	22/04/2008	Asta Ebay	ascomicete	15,5						Not tested	Not tested	Not tested	
10		Sulfur				Sicilia_01	Sicilia, Italia	Cabinet	70*60*50		15/07/2008	22/04/2008	Asta Ebay	ascomicete	6,5						Not tested	Not tested	Not tested	
11		Baryte			Quarzo ialino	Brembana_01	Laghi Gemelli, Val Brembana, Bergamo, Lombardia, Italia	Cabinet	150*90*40		15/07/2008	22/04/2008	Asta Ebay	ascomicete	2,49						Not tested	Not tested	Not tested	
12		Artinite			Matrice ofiolitica	Valtaro_01	Groppo di Gorro, Val Taro, Borgo Val di Taro, Parma, Emilia Romagna, Italia	Cabinet	90*60*40		16/07/2008	22/04/2008	Asta Ebay	ascomicete	3,05						Not tested	Not tested	Not tested	
13		Cerussite			Baryte rosa fluorescente	BouAzzer_01	Bou Azzer, Ourzazate, Souss Massa Draa, Marocco	Cabinet	100*50*40		16/07/2008	22/04/2008	Asta Ebay	ascomicete	14,5						Not tested	Not tested	Not tested	
14	vetrina	Fluorite				HuNan_01	Hu Nan, Cina	Cabinet	70*60*30		16/07/2008	22/04/2008	Asta Ebay	ascomicete	8,6						Not tested	Not tested	Not tested	
15		Fluorite			Pirite	GanSu_01	Gansu, Cina	Cabinet	120*40*40		16/07/2008	22/04/2008	Asta Ebay	ascomicete	7,65						Not tested	Not tested	Not tested	
16		Epidote			Quarzo	Graveglia_01	Graveglia, Ne, Genova, Liguria, Italia	Cabinet	70*70*50		16/07/2008	22/04/2008	Asta Ebay	ascomicete	5,49						Not tested	Not tested	Not tested	
17		Wavellite				Pencil_01	Pencil Bluff, Arkansas, U.S.A.	Miniature	45*25*25		16/07/2008	22/04/2008	Asta Ebay	ascomicete	7,5						Not tested	Not tested	Not tested	
18		Brookite				Pakistan		Cabinet	70*50*40		16/07/2008	29/04/2008	Asta Ebay	ascomicete	7,16						Not tested	Not tested	Not tested	
