cod_loc	cava_min	loc_monte	valle 	comune	distr_pref	provincia	regione	dipartimento	stato	nazione	note	cod_mindat
132_01	132 North Mine	Widgiemooltha					Western Australia			Australia		234
A/S_01	A/S Granit Quarry, Tuften (Tuften 1 Quarry; Tuften 2 Quarry), Tvedalen, Larvik, Vestfold									Norvegia		52650
A46_01	A46 Highway cut, Hüsten, Arnsberg, Sauerland, North Rhine-Westphalia									Germany		66360
Aci_Castello_01		Rupe di Aci Castello, complesso m. Etna		Aci Castello		Catania	Sicilia			Italia		25778
Adam_Heber_01	Adam Heber Mine (Shaft 43), Neustädtel, Schneeberg District, Erzgebirge, Saxony									Germany		22713
Afrikanda_01		Afrikanda Massif, Afrikanda, Kola Peninsula, Murmanskaja Oblast', Northern Region								Russia		2665
Aghbar_01	Aghbar, Bou Azzer mining district, Drâa-Tafilalet Region									Marocco		123409
Agordo_01		Canale d'Agordo	Valle del Focobon			Belluno	Veneto			Italia		
Agostino_01		Monte Sant'Agostino	Val Trebbia	Coli		Piacenza	Emilia Romagna			Italia		204048
Agua_de_Pau_01	Água de Pau volcano (Fogo volcano), San Miguel Island, Azores District									Portogallo		25769
Aguila_01		Punta del Aguila,  Playa Blanca		Lanzarote		Las Palmas, Canarie				Spagna		10673
Ait_Ahmane_01	Vein No. 52, Aït Ahmane, Bou Azer District (Bou Azzer District), Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region									Marocco		123399
Ajo_01	Ajo, Little Ajo Mts, Ajo District, Pima Co., Arizona, USA											3369
Alacran_01	Alacran mine, Alacran, Pampa Larda district, Tierra Amarilla, Copiapò Province, Atacama Region 									Chile		676
Albano_01		Colli Albani		Albano Laziale		Roma	Lazio			Italia		209175
Albero_01		Albero Bassi	Val Timonchiello	Schio		Vicenza	Veneto			Italia		16148
Alcaparrosa_01	Alcaparrosa mine, Cerritos Bayos, Calama, El Loa Province, Antofagasta Region									Chile		639
Alexander_01	Alexander Mine, Meschede, Hochsauerlandkreis, Arnsberg, North Rhine-Westphalia									Germany		10462
Alfenza_01	Miniera di Alfenza			Crodo		Verbano-Cusio-Ossola	Piemonte			Italia		30210
Aljorra_01	Aljorra Quarries, La Aljorra, Campo de Cartagena						Murcia			Spagna		221162
Allchar_01		Allchar (Alsar), Roszdan								Republic of Macedonia		2245
Allochet_01		Toal d'Allochèt (Alochet), Monti Monzoni	Val di Fassa			Trento	Trentino - Alto Adige			Italia		125575
Alluaiv_01		Alluaiv Mt,  Lovozero Massif,  Kola Peninsula,  Murmanskaja Oblast'					Northern Region			Russia		2692
Almandora_01	Cuevas del Almanzora (Cuevas de Vera), Almería, Andalusia									Spagna		204173
Alpe_Rosso_01		Alpe Rosso, Orcesco	Val Vigezzo, Val d'Ossola	Druogno		Verbano-Cusio-Ossola	Piemonte			Italia		22712
Alsdorf_01	Grube Anna	Alsdorf, Aachen					Nordrhein-Westfalen			Germany		13825
Also-Rozsa_01	Alsó-Rózsa adit	Nagybörzsöny, Börzsöny Mts., Pest Co.								Ungheria		27134
Alzasca_01		Pizzo Alzasca	Valle Maggia	Riveo				Ticino		Svizzera		217957
Ambositra_01	Ambositra, Amoron'i Mania									Madagascar		2252
Amiata_01		Monte Amiata				Siena	Toscana			Italia		53078
Amorosa_01	La Amorosa mine, San Rafael claim, Villahermosa del Rio, Castellón, Valencian Community									Spagna		122470
Angrogna_01			Val Pellice	Angrogna		Torino	Piemonte			Italia		
Antandrokomby_01	Antandrokomby pegmatite	Sahatany Pegmatite Field (Mt Bity (Ibity) area)	Manandona Valley			 Antananarivo	 Vakinankaratra			Madagascar		2260
Aouli_01		Aouli, Upper Moulouya lead district, Midelt, Khénifra Province, Meknès-Tafilalet Region								Marocco		11606
Apparè_01		Apparé	Valle dell'Orco	Sparone		Torino	Piemonte			Italia		166551
Aquila_01		Monte Aquila	Val Sangone	Giaveno		Torino	Piemonte			Italia		204229
Arami_01		Arami Alp, Gorduno, Bellinzona, Riviera, Ticino								Svizzera		72012
Aranno_01	Aranno, Malcantone, Ticino (Tessin)									Svizzera		122680
Arbaz_01		Arbaz	Val d'Ayas	Challant Saint-Anselme			Valle d'Aosta			Italia		133459
Arci_01	Cava Funtanafigu	Monte Arci		Marrubiu		Oristano	Sardegna			Italia		16814
Arcu_01		Arcu su Linnarbu		Capoterra		Cagliari	Sardegna			Italia		2112
Arenales_01	Los Arenales quarry, Mt. La Rocha de Piquer, Torás, Castellón, Valencian Community									Spagna		122468
Argentario_01		Isola Rossa		Monte Argentario		Grosseto	Toscana			Italia		29668
